title,review,user_name
Super!,nice and it's fixed in every mobileREAD MORE,Flipkart Customer
Terrific purchase,osm products my bestie love it 😍😍😍READ MORE,Rj riya  ( Bebo)  
Useless product,badREAD MORE, Niyaj  Alam
Hated it!,low qualityREAD MORE,Heman  Boro
Really Nice,the left trigger has some defect while zooming its zoom twice.. other wise its excellent to use while playing pubg♥READ MORE,Flipkart Customer
Highly recommended,NiceREAD MORE,Shakti prasad  Nayak
Excellent,Very good 👍 and durableREAD MORE,Flipkart Customer
Best in the market!,Good nice productREAD MORE,Deepak Saini
Excellent,Thank you sirREAD MORE,Flipkart Customer
Perfect product!,GoodREAD MORE,Salim Ibrahim
Just okay,good productREAD MORE,Biramani Singha
Absolute rubbish!,not satisfied poor Quality friendsREAD MORE,Flipkart Customer
Utterly Disappointed,Very poorREAD MORE,Harshpal Singh
Did not meet expectations,Not happy with the product doesn't fit properly in one plusREAD MORE,Flipkart Customer
Could be way better,BadREAD MORE,Sandip Rudra
Wonderful,goodREAD MORE,Sanjay Kumar  Mahto 
Fabulous!,that's goodREAD MORE,vishnu bhargav
Classy product,Good workREAD MORE,Raju Mafiya
Classy product,Assume productREAD MORE,Flipkart Customer
Decent product,NiceREAD MORE,Gourango Mallik
Awesome,Nice  productREAD MORE,Yogesh  B Chauhan
Good quality product,Simple goodREAD MORE,Mani Thambi Rmk
Best in the market!,Good but AWESOME 😀😀🔫🇮🇳😍😍💍READ MORE,Rounak Kumar
Just wow!,GoodREAD MORE,Flipkart Customer
Unsatisfactory,Worst  productREAD MORE,rithink
Highly recommended,Thank you very muchREAD MORE,Flipkart Customer
Terrible product,Weast productREAD MORE,Flipkart Customer
Expected a better product,Sorry its not nice so please replace the itamREAD MORE,Abhishek Varma
Unsatisfactory,Vaste productREAD MORE,Mohammad farhaan  Shariff 
Moderate,No working properly.READ MORE,Mudassir Khanna
Worth the money,SuperREAD MORE,Abi Appi
Awesome,NiceREAD MORE,Anil Gunjal
Worth every penny,Good it is easy to playREAD MORE,Flipkart Customer
Best in the market!,GoodREAD MORE,Karan   Wadhe
Waste of money!,Very bsdREAD MORE,Flipkart Customer
Good quality product,Good one this is best one for gamingREAD MORE,Jatin Jangra
Hated it!,Very poooorREAD MORE,Flipkart Customer
Don't waste your money,Wrost productREAD MORE,Raja Mouli Bollam
Terrible product,Very bad productREAD MORE,Flipkart Customer
Does the job,AverageREAD MORE,Flipkart Customer
Wonderful,ThanksREAD MORE,Suman Kumar Ghosh
Worthless,Bad productREAD MORE,Flipkart Customer
Value-for-money,Nice appREAD MORE,Flipkart Customer
Terrible product,Worst qualityREAD MORE,Flipkart Customer
Waste of money!,Its product is very bad.... Not good the switches and not suit yo mobile....READ MORE,Flipkart Customer
Very poor,Worst product pls don't buy this.READ MORE,Flipkart Customer
Terrific,Good productREAD MORE,Shyam  Panchal
Terrific purchase,GoodREAD MORE,Sako jmt
Useless product,Very bad productREAD MORE,Bidesh Sipai
Awesome,Very goodREAD MORE,Navin  Das
Decent product,Not very bad item no money useREAD MORE,AVAIJ KHAN
Unsatisfactory,WorstREAD MORE,Flipkart Customer
Excellent,Good productREAD MORE,Flipkart Customer
Great product,GoodREAD MORE,Flipkart Customer
Very poor,"It's useless, it doesn't stick to mobileREAD MORE",Nikhil
Nice product,niceREAD MORE,Flipkart Customer
Simply awesome,Nice but damagedREAD MORE,Flipkart Customer
Super!,Good productREAD MORE,Amjad khan Kallapur
Super!,GoodREAD MORE,Flipkart Customer
Great product,NaicREAD MORE,Flipkart Customer
Not recommended at all,Very badREAD MORE,Shaban Raza
Utterly Disappointed,Not use to easy. And product is made in china i hate this.And deferent Colour.READ MORE,Flipkart Customer
Not recommended at all,Quality not goodREAD MORE,MD. Tanveer
Classy product,GoodREAD MORE,Tanisha Behera
Decent product,product is very good but normally its not fitted on my samsung a50 fitted when i have apply flip cover its okREAD MORE,RAKESH HADVE
Good,"Buttons are not free, we need to press hardREAD MORE",wahed khan
Utterly Disappointed,Don't buy.READ MORE,Flipkart Customer
Worthless,Not a good product build quality is not goodREAD MORE,Flipkart Customer
Waste of money!,WorstREAD MORE,Flipkart Customer
Good,GoodREAD MORE,Muhammad Rafi
Mind-blowing purchase,Good at this price.READ MORE,Aman  Raj
Horrible,"Bad product low quality  Both are triggers on the same side.  Color is change, West is bad,READ MORE",Flipkart Customer
Wonderful,Nice but colour changeREAD MORE,Flipkart Customer
Just okay,Nice productREAD MORE,Flipkart Customer
Moderate,Very worst product..and use hard..not smoothREAD MORE,Vaikundaraj.P Ponraj
Mind-blowing purchase,SuperREAD MORE,Kishore  Kishore
Must buy!,AverageREAD MORE,Manju Gond
Fabulous!,Nice product i lv itREAD MORE,Sudhir Kumar
Pretty good,NiceREAD MORE,Mohan Belakud
Decent product,Not badREAD MORE,Balaji Varanasi
Waste of money!,PoorREAD MORE,Flipkart Customer
Unsatisfactory,Not fitting perfectly and button presssing is so tight that i have to put more pressure to itREAD MORE,Karti
Hated it!,It cannot be fit with the cover on and so tight to shootREAD MORE,nazzem nizak
Worthless,BakwaasVery badNot goodREAD MORE,Rahul Bediya
Waste of money!,Bad qualityREAD MORE,Flipkart Customer
Mind-blowing purchase,NiceREAD MORE,Sunil Ghagarmale
Super!,Very niceREAD MORE,Flipkart Customer
Not recommended at all,"Very bad ,, I am not satisfiedREAD MORE",Shakti Rawat
Not recommended at all,Bad qualityREAD MORE,satej khariwale
Excellent,Good condisanREAD MORE,Flipkart Customer
Decent product,It is better but I can't use the left oneREAD MORE,Soham  Podder
Slightly disappointed,Bad product... not useful for good playingREAD MORE,Nandhu Remesh
Useless product,damaged productREAD MORE,Flipkart Customer
Pretty good,GoodREAD MORE,Flipkart Customer
Simply awesome,Not badREAD MORE,Raju Mondal 
Worth every penny,NiceREAD MORE,Vicky  Sain
Waste of money!,WasteREAD MORE,Flipkart Customer
Awesome,Very niceREAD MORE,Flipkart Customer
Not recommended at all,This item is not perfect fit in mobile.so not play in perfectly in game.so very badREAD MORE,Vijay Vamsi
Worthless,Very Very Poor Quality And  Very Hard to Use. Waste Of MoneyREAD MORE,Flipkart Customer
