title,review,user_name
Best in the market!,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones.READ MORE",ankit paliwal
Wonderful,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation.READ MORE",Rawat Ns
Wonderful,"Ok let me get one thing straight, this phone is not for those guys who wants fancy features like bezel less display, or big screen, or quad camera setup, this just upgraded performance version of 6s, the feature like wireless charging which is not available in most of the flagships available in market is also included.READ MORE",Kuldeep Sharma
Best in the market!,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr...READ MORE",Vishnu Av
Mind-blowing purchase,"This is my first iPhone. A great purchase at this price range. Perfect for a person who wants to buy a new iPhone with the latest iOS and A13 Bionic chipset at a tight budget. Very handy, great camera and flawlessly smooth while switching between apps. Gaming is also awesome thanks to the powerful processor. Battery life could have been better. Thanks Flipkart for such a great offer and free delivery. I got it the very next day of purchasing.READ MORE",Ongfa Wakhet
A true mid-flagship disrupter has arrived.,"If I could describe this device in a single work it'd be ""Stellar"", it's a bang for buck. Being an apple enthusiast from a long time I took a leap of faith with OnePlus 7, the device was indeed an 'Apple' in the android world, it was a no slouch phone and everything was top notch except the camera and some exclusive apps available on iOS only. My utmost priority to switch back to iPhone was camera and the apps available on the app store plus the unbreakable updates that Apple provides with ti...READ MORE",Raja Arora
Best in this budget,"This is an amazing phone for the price. For someone coming from a pure Android background, migrating data would take a little time, and the battery backup may be quite less for the first 1-2 days. Once it is all set, I felt that the phone gives a decent battery backup. The backup with the ~1800mAh battery on this phone is somewhat comparable to that of an Android with twice the capacity.Camera is amazing for my use, as the lighting and colour tone are Natural, close to what we would see with...READ MORE",Nithin Subhash
Good phone for the price,"Some might say overpriced in India, but below are the PROS and CONS after 3 days of usage:Pros:1. Blazing fast processor. Runs everything thrown at it without a stutter.2. Very good single camera for daylight photography. Night time is good but not great.3. Optimal screen size for a phone for one hand use.4. Brilliant looks5. Battery life is one day when used like a phone. Watch various youtube videos to increase battery life. Optimal use of battery saver mode and screen brightness can...READ MORE",Karn
Mind-blowing purchase,Best decision of my life moving from Android to IOSOne of the best phone to start up with iphone seriesA13 the fastest chip best security in the world.Just use it and you will love forever. Thanks Flipkart for timely delivery. Genuine productsREAD MORE,Flipkart Customer
Just wow!,"I switched from iPhone 8 to iPhone SE instead of going for iPhone 11 since SE comes with same power and great camera with a device size I can easily use and hold in my single hand. I got this delivered within one day of being available in India and it’s just great. I am a big fan of iOS and I’m deep into the Apple ecosystem with my iPad, MacBook, AirPods and an old iPod and I’m not disappointed here too. To those of you who are wondering how is it different from iPhone 8 since it practically ...READ MORE",Neha Singh
Brilliant,"Very handy and comfortable to hold. Best phone to buy if you want sleek design, powerfull processor, beautiful camera and that's fits in your pocket. I didn't hesitate while buying this phone instead of oneplus 8. Afterall its your choice whether you want a phone or a tab sized phone.P.S.- it's not that small.READ MORE",ankit sinha
Great product,Honestly best package from apple. Super handy. I don't like big phones. This phone is perfect for me and would definately recommend to everybody. If you compare antutu and geekbench scores with of iphone 11; this easily beats the iphone 11.READ MORE,Aman Singh
Awesome,Really cool device. I just switched the first edition of SE to this one and I love it. It fits perfectly in my hand that’s perfect for me and i think for many of you out there. When we talk about performance it’s incomparable. To know more detailed reviews on this visit bhaskarpant.comREAD MORE,Bhaskar Pant
