,title,review,user_name
0,Terrific purchase,Very good product but ram and memory can be 4gb 64gbREAD MORE,Rohit Verma
1,Simply awesome,Good performance budget phone. I love this phoneREAD MORE,Gaurav Kumar
2,Worth every penny,Fast delivery by flipkart thanks so muchREAD MORE,Flipkart Customer
3,Awesome,Very nice phone camera 👍🙏👍👍READ MORE,Mandeep Maurya
4,Nice,Battery backup is awesomeBut display's brightness is poorREAD MORE,DIPTIRANJAN MISHRA
5,Awesome,Very best mobile for this priceREAD MORE,Rohit Dhiman
6,Fabulous!,Good phoneREAD MORE,pankaj sapra
7,Brilliant,Performance is too good💖💖Battery backup is also good😘😘READ MORE,Tapash Bhandari
8,Excellent,Nyc serivce fast delivery thank you FlipkartREAD MORE,Flipkart Customer
9,Terrific purchase,Good product niceREAD MORE,Sajad Khan
10,Awesome,goodREAD MORE,Priyanka  Solanki 
11,Awesome !!,best in the rangeREAD MORE,Yash  Raut
12,Excellent,Amazing product and fast delivery by FlipkartREAD MORE,Flipkart Customer
13,Perfect product!,Superb in perfomance And Best price 😎😎READ MORE,Flipkart Customer
14,Highly recommended,"Superb phone under this rate,, thank you Flipkart for the wonderful sale , 🙂READ MORE",Akshat Bhalotia
15,Just okay,Good lookREAD MORE,Sandeep Singh
16,Mind-blowing purchase,awesome ProductsREAD MORE,Amit Roy
17,Mind-blowing purchase,Awesome MobileREAD MORE,Anand Kumar Pradhan
18,Must buy!,Excellent. My lil brother loved it. And now my cousin also want it. I will try in next sale.READ MORE,Israr Husain
19,Simply awesome,Good camera 👌READ MORE,Flipkart Customer
20,Great product,AwesomeREAD MORE,Flipkart Customer
21,Worth every penny,NiceREAD MORE,Rakesh Mondal
22,Terrific purchase,Good Timing Delivery.. Thanks A LotREAD MORE,SK RAKIBUL
23,Highly recommended,Best budget phoneREAD MORE,Rocky Griffin
24,Highly recommended,SorryREAD MORE,Flipkart Customer
25,Useless product,Bad producotsREAD MORE,Ram Kesh
26,Expected a better product,Just AverageREAD MORE,Soumya Banerjee
27,Not recommended at all,Bad battery....not a 5000mah....not going to one day ..😔😔😔😔.west for money 😡😡😡READ MORE,Vijay Magdum
28,Classy product,Nice productREAD MORE,Sarvesh Kataria
29,Awesome,goodREAD MORE,Priyanka  Solanki 
30,Awesome !!,best in the rangeREAD MORE,Yash  Raut
31,Excellent,Amazing product and fast delivery by FlipkartREAD MORE,Flipkart Customer
32,Perfect product!,Superb in perfomance And Best price 😎😎READ MORE,Flipkart Customer
33,Highly recommended,"Superb phone under this rate,, thank you Flipkart for the wonderful sale , 🙂READ MORE",Akshat Bhalotia
34,Just okay,Good lookREAD MORE,Sandeep Singh
35,Mind-blowing purchase,awesome ProductsREAD MORE,Amit Roy
36,Mind-blowing purchase,Awesome MobileREAD MORE,Anand Kumar Pradhan
37,Must buy!,Excellent. My lil brother loved it. And now my cousin also want it. I will try in next sale.READ MORE,Israr Husain
38,Simply awesome,Good camera 👌READ MORE,Flipkart Customer
39,Great product,AwesomeREAD MORE,Flipkart Customer
40,Worth every penny,NiceREAD MORE,Rakesh Mondal
41,Terrific purchase,Good Timing Delivery.. Thanks A LotREAD MORE,SK RAKIBUL
42,Highly recommended,Best budget phoneREAD MORE,Rocky Griffin
43,Highly recommended,SorryREAD MORE,Flipkart Customer
44,Useless product,Bad producotsREAD MORE,Ram Kesh
45,Expected a better product,Just AverageREAD MORE,Soumya Banerjee
46,Not recommended at all,Bad battery....not a 5000mah....not going to one day ..😔😔😔😔.west for money 😡😡😡READ MORE,Vijay Magdum
47,Classy product,Nice productREAD MORE,Sarvesh Kataria
