title,review,user_name,rating
No Title,"5Its my honest opinion it is more comfartable, as i expected .Just go for it .READ MORE",Durga Gupta,5
No Title,5excellent productsREAD MORE,Abnish  Kumar ,5
No Title,5good looking & nice product😍😍😍READ MORE,Sarath Kumar,5
No Title,4comfortable ...for runningREAD MORE,MUKESH SAHU,4
No Title,5good product in this rangeREAD MORE,Anurag V.H,5
No Title,5good quality. shoes is very comfortable. please buy this shoes.READ MORE,Kunj Patel,5
No Title,"5Very good product and quality is also very good , perfect shoes for a normal running,gym,walk and all no doubt buy it but order size next to ur actuall size i mean actual size 8 then must order size 9 it will fit perfectly !READ MORE",BHARATH  c,5
No Title,5awesome and beautiful shoes and very best for running...READ MORE,Flipkart Customer,5
No Title,5super quality under 700READ MORE,Flipkart Customer,5
No Title,5shoes is very good nd weight is too light...perfect for running .....READ MORE,Md ARSHAD KHAN,5
No Title,"5Its my honest opinion it is more comfartable, as i expected .Just go for it .READ MORE",Durga Gupta,5
No Title,5excellent productsREAD MORE,Abnish  Kumar ,5
No Title,5good looking & nice product😍😍😍READ MORE,Sarath Kumar,5
No Title,4comfortable ...for runningREAD MORE,MUKESH SAHU,4
No Title,5good product in this rangeREAD MORE,Anurag V.H,5
No Title,5good quality. shoes is very comfortable. please buy this shoes.READ MORE,Kunj Patel,5
No Title,"5Very good product and quality is also very good , perfect shoes for a normal running,gym,walk and all no doubt buy it but order size next to ur actuall size i mean actual size 8 then must order size 9 it will fit perfectly !READ MORE",BHARATH  c,5
No Title,5awesome and beautiful shoes and very best for running...READ MORE,Flipkart Customer,5
No Title,5super quality under 700READ MORE,Flipkart Customer,5
No Title,5shoes is very good nd weight is too light...perfect for running .....READ MORE,Md ARSHAD KHAN,5
No Title,"3ordinary shoe,foam type sole,not good for long usage.READ MORE",Manish kumar  Kumar,3
No Title,5niceREAD MORE,Flipkart Customer,5
No Title,5it's cool and comfortable. I really like it.READ MORE,Mathan Ms,5
No Title,4Nice and comfortableREAD MORE,sagar  johari,4
No Title,5best productREAD MORE,kishor petkule,5
No Title,"5Its my honest opinion. It is more comfartable as i expected,Just go for it.READ MORE",Durga Gupta,5
No Title,5Very good shoesREAD MORE,Sajid Jam,5
