title,review,user_name,rating
Must buy!,good product good resultREAD MORE,Uttam Kumar,5
Good choice,NycREAD MORE,Pritpal kaler,4
Fabulous!,nice productREAD MORE,Flipkart Customer,5
Must buy!,Osm Result this mass gainer.. thank u so mchREAD MORE,Flipkart Customer,5
Best in the market!,nice protinREAD MORE,Flipkart Customer,5
Mind-blowing purchase,Super massREAD MORE,Rafik befari,5
Awesome,Good thingREAD MORE,Flipkart Customer,5
Wonderful,Nice👏READ MORE,Flipkart Customer,4
Super!,its so amazing..READ MORE,Flipkart Customer,5
Best in the market!,Best quality and no side effects no.1 brand alsoREAD MORE,Ram Saran Yadav,5
