title,review,user_name,rating
No Title,5Very nice t-shirtREAD MORE,Flipkart Customer,5
No Title,4Bindash t-shirtREAD MORE,Imran Qadri,4
No Title,4Nike t-shirtREAD MORE,Flipkart Customer,4
No Title,5Very nice product 👌READ MORE,Flipkart Customer,5
No Title,3GoodREAD MORE,Flipkart Customer,3
No Title,4Nice product fit and comfortREAD MORE,Ravindra kumar  verma,4
No Title,5This t-shirt is very much liked.  Is a really good t-shirt and it is also fit for everyone's body 🥰😍😘READ MORE,Ashish Nautiyal,5
No Title,1Low qualityREAD MORE,Dattaram Naik,1
No Title,1I am regular customer on Flipkart but very very bad product for me know plz Flipkart take action my review ..and you see my order on Flipkart..thanksREAD MORE,Flipkart Customer,1
No Title,5Good fabric and same designs and color as shownREAD MORE,Flipkart Customer,5
Must buy!,great buying...  Happy with the delivery.  Thank you Flipkart ..  Absolutely loved it.READ MORE,Shilpa Mohanty,5
Terrific,The product is extremely worth for money &vvvvv appt for kids it is really harmless the product which was delivered to me has satisfy me these product can be gifted to kidsREAD MORE,Flipkart Customer,5
Great product,Amazing thank you so much flipkart love this productIt's perfect 🥰😍......READ MORE,Flipkart Customer,5
Terrific,A very good product for this price range. A little lighter than expected but good for kids.READ MORE,Jhuma Sarkar,5
Really Nice,excellentREAD MORE,Flipkart Customer,4
Very Good,Very nice toyREAD MORE,Pratima  Pun ,4
Mind-blowing purchase,Very good product... easy to use and kids love to play..READ MORE,Flipkart Customer,5
Just wow!,"Awesome 👍, Made up of good quality plastic. Thanks Flipkart.READ MORE",Anupam Bera,5
Simply awesome,"wow,  superrrrrr.  semma offer  Rs. 160/-. Thank you Flipkart.READ MORE",Flipkart Customer,5
Simply awesome,good productREAD MORE,Madhu K,5
